#EventID|Time|Latitude|Longitude|Depth/Km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName
23389011|2019-11-04T16:07:49.030000|42.8622|12.9932|9.2|BULLETIN-INGV||||ML|2.5|--|4 km W Preci (PG)
23390171|2019-11-04T20:51:57.290000|42.7417|13.2117|10.1|BULLETIN-INGV||||ML|2.1|--|6 km NW Accumoli (RI)
23390631|2019-11-05T00:54:22.250000|46.2415|7.3848|11.4|BULLETIN-INGV||||ML|3.0|--|Confine Italia-Svizzera (SVIZZERA)
23391501|2019-11-05T03:36:51.120000|46.2462|7.3897|10.6|BULLETIN-INGV||||ML|3.1|--|Confine Italia-Svizzera (SVIZZERA)
23392501|2019-11-05T05:55:35.380000|46.2673|7.3758|11.1|BULLETIN-INGV||||ML|2.2|--|Confine Italia-Svizzera (SVIZZERA)
23392581|2019-11-05T06:00:21.850000|46.2617|7.3985|11.1|BULLETIN-INGV||||ML|2.5|--|Confine Italia-Svizzera (SVIZZERA)
23393551|2019-11-05T07:18:43.340000|46.2538|7.4078|13.9|BULLETIN-INGV||||ML|2.5|--|Confine Italia-Svizzera (SVIZZERA)
23393881|2019-11-05T07:47:57.790000|46.2618|7.4122|13.3|BULLETIN-INGV||||ML|2.3|--|Confine Italia-Svizzera (SVIZZERA)
23394421|2019-11-05T08:19:22.840000|38.3978|13.6467|22.7|BULLETIN-INGV||||ML|2.2|--|Costa Siciliana centro-settentrionale (Palermo)
23397971|2019-11-05T11:37:57.070000|39.703|15.4373|8.0|BULLETIN-INGV||||ML|2.2|--|Tirreno Meridionale (MARE)
23401071|2019-11-05T15:24:52.530000|40.3997|14.7642|6.2|BULLETIN-INGV||||ML|3.4|--|Golfo di Salerno (Salerno)
23404161|2019-11-05T19:21:31.790000|46.2572|7.3867|11.3|BULLETIN-INGV||||ML|2.4|--|Confine Italia-Svizzera (SVIZZERA)
23404451|2019-11-05T19:51:14.650000|46.2508|7.3923|11.1|BULLETIN-INGV||||ML|2.9|--|Confine Italia-Svizzera (SVIZZERA)
23404791|2019-11-05T20:06:55.620000|46.2583|7.3798|10.9|BULLETIN-INGV||||ML|2.1|--|Confine Italia-Svizzera (SVIZZERA)
23404891|2019-11-05T20:10:59.990000|46.2652|7.4042|11.5|BULLETIN-INGV||||ML|2.1|--|Confine Italia-Svizzera (SVIZZERA)
23405031|2019-11-05T20:21:56.850000|46.2692|7.4007|11.1|BULLETIN-INGV||||ML|2.0|--|Confine Italia-Svizzera (SVIZZERA)
23405841|2019-11-05T23:15:14.030000|46.0157|6.9013|10.8|BULLETIN-INGV||||ML|2.0|--|V3 Monte Bianco (ITALIA, FRANCIA, SVIZZERA)
23406021|2019-11-06T01:14:50.220000|42.9805|13.5372|25.4|BULLETIN-INGV||||ML|2.2|--|3 km NW Rotella (AP)
23406101|2019-11-06T01:54:37.370000|42.985|13.5433|24.1|BULLETIN-INGV||||ML|2.4|--|4 km NW Rotella (AP)
23406331|2019-11-06T04:02:01.820000|45.9427|7.8697|10.5|BULLETIN-INGV||||ML|2.3|--|8 km W Macugnaga (VB)
23406491|2019-11-06T05:34:22.540000|37.4563|15.7455|27.6|BULLETIN-INGV||||ML|2.2|--|Mar Ionio Meridionale (MARE)
23409461|2019-11-06T17:34:51.920000|44.3162|10.7525|65.4|BULLETIN-INGV||||ML|2.8|--|2 km E Lama Mocogno (MO)
23410031|2019-11-06T21:53:54.170000|41.7787|13.6013|14.4|BULLETIN-INGV||||ML|2.2|--|4 km SE Balsorano (AQ)
23410201|2019-11-07T00:13:09.300000|41.7782|13.6022|14.2|BULLETIN-INGV||||ML|2.8|--|4 km SE Balsorano (AQ)
23410601|2019-11-07T03:14:56.210000|43.8022|13.5313|29.1|BULLETIN-INGV||||ML|2.1|--|Costa Marchigiana Anconetana (Ancona)
23410721|2019-11-07T03:39:03.410000|41.7783|13.6017|13.7|BULLETIN-INGV||||ML|2.5|--|4 km SE Balsorano (AQ)
23411191|2019-11-07T06:28:10.420000|38.042|15.1357|5.4|BULLETIN-INGV||||ML|2.1|--|3 km N Novara di Sicilia (ME)
23413431|2019-11-07T15:01:10.750000|42.717|13.2423|14.1|BULLETIN-INGV||||ML|2.0|--|2 km N Accumoli (RI)
23413471|2019-11-07T15:08:11.580000|42.7168|13.2403|10.1|BULLETIN-INGV||||ML|2.2|--|2 km N Accumoli (RI)
23413611|2019-11-07T15:40:53.750000|43.9268|11.5988|7.7|BULLETIN-INGV||||ML|2.4|--|2 km W San Godenzo (FI)
23414191|2019-11-07T17:35:21.180000|41.7762|13.6043|16.2|BULLETIN-INGV||||Mw|4.4|--|5 km SE Balsorano (AQ)
23414221|2019-11-07T17:38:49.590000|41.7828|13.6065|14.5|BULLETIN-INGV||||ML|2.0|--|4 km SE Balsorano (AQ)
23414431|2019-11-07T17:47:53.250000|41.7757|13.6128|14.3|BULLETIN-INGV||||ML|2.1|--|5 km NW Pescosolido (FR)
23415271|2019-11-07T18:35:39.130000|46.2643|7.3848|13.1|BULLETIN-INGV||||ML|3.0|--|Confine Italia-Svizzera (SVIZZERA)
23415361|2019-11-07T18:38:28.000000|46.2578|7.3797|10.9|BULLETIN-INGV||||ML|2.2|--|Confine Italia-Svizzera (SVIZZERA)
23416011|2019-11-07T20:24:34.240000|43.9198|11.5925|7.8|BULLETIN-INGV||||ML|2.2|--|2 km W San Godenzo (FI)
